id	user_visible_name	source_project	source_files_and_symbols	owner	category	decision	config_keys_and_defaults	console_commands_keybinds	resources_persistence	lifecycle_matrix	mode_matrix	upstream_touchpoints	status	evidence	privacy_and_failure_fallback	performance_budget	tests	smoke_steps_and_failure_signals	legacy_tclient_fields_read	new_state_owner	official_state_source_or_adapter	legacy_accessor_removal_condition	replacement_commit
qm.lifecycle	Qm 生命周期与统计服务	QmClient	qmclient/qmclient.*; ddnet_player_stats_state.h	Qm service	Qm_NATIVE	REWRITE	旧配置与统计文件待盘点	服务命令待盘点	统计文件、异常退出 marker、HTTP 结果	init/reset/state/map/shutdown 待重写	offline/online/dummy/reconnect/exit 待验证	无	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.axiom	Qm Axiom 登录与成绩	QmClient	axiom_auto_login.*; axiom_scores.*; axiom_scores_data.*	Qm service	Qm_NATIVE	REWRITE	旧 Axiom 配置待盘点	登录/刷新命令待盘点	HTTP、token、缓存 TTL	取消、重连、旧响应覆盖待验证	main/dummy/offline 待验证	HTTP adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.i18n	Qm 翻译与语言覆盖	QmClient	translate/*; translations/i18n/qmclient.toml	Qm i18n owner	Qm_NATIVE	REWRITE	语言配置与 fallback 待盘点	翻译触发器待盘点	语言源、生成 txt 产物	切服、超时、旧任务取消待验证	online/offline/chat/demo 待验证	i18n pipeline	INVENTORY	-	缺失 key 回退 source/fallback，不记录用户文本	待补全	待补全	待补全	未读取	CQmI18n	官方 Localize adapter	source/pipeline 接通后	-
qm.media	Qm 媒体与歌词	QmClient	music_lyrics/*; netease/*; netease_hook/*	Qm media owner	Qm_NATIVE	REWRITE	provider/helper 配置待盘点	媒体控制命令待盘点	KRC/QRC/TTML、helper、缓存	helper 崩溃、切歌、退出待验证	offline/online/desktop/platform 待验证	helper/platform adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.voice	Qm 语音	QmClient	voice/*; system_media_controls.*	Qm voice owner	Qm_NATIVE	REVIEW	设备/PTT/VAD 配置待盘点	语音命令待盘点	音频设备与权限	音频线程、设备切换、断线待验证	online/offline/dummy/platform 待验证	audio adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.scripting	Qm 脚本	QmClient	scripting.*; scripting/impl.*; data/qmclient/builtinscripts/*	Qm scripting owner	Qm_NATIVE	REVIEW	脚本开关与沙箱待盘点	脚本命令待盘点	内置脚本、用户脚本	回调注销、异常、退出待验证	offline/online/map/editor 待验证	无	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.hud	Qm HUD、通知与输入覆盖	QmClient	hud_notifications/*; input_overlay.*; afk_presentation.h	Qm UI owner	Qm_NATIVE	REWRITE	HUD/overlay 配置待盘点	输入优先级与快捷键待盘点	icon atlas、overlay layout	绘制顺序、reset、preview 待验证	online/dummy/spectator/demo/editor 待验证	render/input adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.visual	Qm 视觉效果	QmClient	jelly_tee.*; tee_hue_cycle.*; weapon_trajectory.*	Qm visual owner	Qm_ADAPTER	PORT	视觉开关与默认值待盘点	快捷键待盘点	纹理、shader、atlas	渲染状态恢复、地图切换待验证	online/dummy/spectator/demo 待验证	players/nameplates/render	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.collision	Qm 碰撞盒与锤击命中	QmClient	collision_hitbox.*; hammer_hit_detection.*	Qm gameplay presentation	Qm_NATIVE	REWRITE	显示配置待盘点	调试命令待盘点	-	tick、地图边界、reset 待验证	online/dummy/spectator/demo 待验证	只读 game-state adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
qm.diagnostics	Qm 性能与图形诊断	QmClient	monitoring/*; perf_logging.h; stutter_diagnostics.h	Qm diagnostics owner	Qm_ADAPTER	REWRITE	诊断开关与采样率待设计	报告命令待设计	自动 diagnostics session、JSONL	初始化失败、线程、writer、shutdown 待验证	all modes/backend variants	graphics adapter	PARTIAL	当前实现：qm_diagnostics.* 自动写入 session JSONL 和 report，记录基础图形信息、OpenGL/GLES 快照、Vulkan 初始化快照、OpenGL/GLES debug callback 聚合事件及 update/render 窗口统计；session 使用 ASYNCIO writer；callback 具体文本现在通过固定容量 ring 以有界最近消息快照进入自动事件；Metal/Vulkan validation 消息、组件/UI 阶段和 Vulkan 成功路径仍待补齐或验证	日志默认不含服务器地址、玩家名和聊天文本；写盘失败不阻断启动；callback 注销、独立 callback state、错误路径强制 flush 和 shutdown 超时、固定容量 ring 已接入	frame interval/render CPU 采样固定容量；GPU/backend 字段仍需跨后端实测；debug event 为 backend_attempt_cumulative	qmclient_diagnostics_test.cpp；Release clean game-client build；C++ tests	启动、图形初始化失败、resize、正常退出；检查 session/report JSON；OpenGL callback runtime、GLES compile/runtime 和 Vulkan runtime pending	无	CQmDiagnostics	IGraphics + graphics init/frame adapter	Metal/Vulkan validation、组成阶段和真实后端 runtime 完成后	未提交
